Train_No,Start_Station,End_Station,Start_Departure,End_Arrival,Total_Distance,Number_of_Stops,Journey_Duration
56266,MYSORE JN.,ARSIKERE JN.,07:15:00,11:10:00,167,21,0 days 03:55:00
56267,ARSIKERE JN.,MYSORE JN.,05:00:00,09:25:00,167,21,0 days 04:25:00
56268,MYSORE JN.,ARSIKERE JN.,18:20:00,22:30:00,167,21,0 days 04:10:00
56269,SHIMOGA TOWN,MYSORE JN.,10:20:00,16:30:00,275,16,0 days 06:10:00
56270,MYSORE JN.,SHIMOGA TOWN,10:20:00,16:40:00,275,16,0 days 06:20:00
56271,SHIMOGA TOWN,CHIKMAGALURU,18:15:00,21:25:00,114,11,0 days 03:10:00
56272,CHIKMAGALURU,SHIMOGA TOWN,06:40:00,09:30:00,114,11,0 days 02:50:00
56273,ARSIKERE JN.,HUBLI JN.,04:50:00,13:05:00,305,36,0 days 08:15:00
56274,HUBLI JN.,ARSIKERE JN.,15:25:00,22:40:00,303,36,0 days 07:15:00
56275,TALGUPPA,MYSORE JN.,05:15:00,14:30:00,372,32,0 days 09:15:00
56276,MYSORE JN.,TALGUPPA,13:10:00,22:15:00,372,31,0 days 09:05:00
56277,CHIKMAGALURU,YESVANTPUR J,07:40:00,14:15:00,244,20,0 days 06:35:00
56278,YESVANTPUR J,CHIKMAGALURU,15:30:00,22:15:00,244,20,0 days 06:45:00
56281,CHAMRAJANAGA,KRANTIVIRA S,07:00:00,12:15:00,198,27,0 days 05:15:00
56282,KRANTIVIRA S,CHAMRAJANAGA,15:30:00,20:35:00,198,27,0 days 05:05:00
56300,QUILON,ALLEPPEY,03:30:00,05:40:00,84,14,0 days 02:10:00
56301,ALLEPPEY,QUILON,17:20:00,19:20:00,85,14,0 days 02:00:00
56302,ALLEPPEY,ERNAKULAM. J,07:20:00,08:55:00,56,12,0 days 01:35:00
56303,ERNAKULAM. J,ALLEPPEY,15:40:00,17:15:00,56,12,0 days 01:35:00
56304,NAGERCOIL JN,KOTTAYAM,12:20:00,19:50:00,231,44,0 days 07:30:00
56305,KOTTAYAM,QUILON,05:35:00,08:15:00,96,14,0 days 02:40:00
56307,QUILON,TRIVANDRUM C,06:55:00,09:00:00,64,18,0 days 02:05:00
56308,TRIVANDRUM C,QUILON,18:00:00,20:00:00,64,18,0 days 02:00:00
56309,QUILON,TRIVANDRUM C,15:15:00,17:05:00,64,18,0 days 01:50:00
56310,NAGERCOIL JN,TRIVANDRUM C,06:30:00,08:30:00,71,14,0 days 02:00:00
56311,TRIVANDRUM C,NAGERCOIL JN,06:50:00,08:50:00,72,14,0 days 02:00:00
56313,TRIVANDRUM C,NAGERCOIL JN,18:05:00,19:55:00,72,14,0 days 01:50:00
